id,group,age_demographic_tag,theme,gift_idea,why_unique,price_band,price_range
301,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Personalised name LED neon sign,The Pinterest-room centrepiece she's been eyeing.,C,"Rs 1,500-5,000"
302,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Galaxy / sunset projector lamp,Transforms the room's mood in one click.,B,"Rs 500-1,500"
303,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Fairy-light photo-clip curtain,Turns her memories into glowing wall art.,A,Rs 0-500
304,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Instant / mini photo printer,Prints phone pics on the spot; deeply loved by teens.,D,"Rs 5,000+"
305,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Corkboard + polaroid memory kit,A curated wall of friendships and trips.,B,"Rs 500-1,500"
306,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Aesthetic desk-organiser bundle,"Pretty, functional and endlessly rearranged.",B,"Rs 500-1,500"
307,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Cloud / moon ambient night lamp,"Soft, dreamy light for reading and winding down.",B,"Rs 500-1,500"
308,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Custom Spotify-code framed poster,"Her favourite song, scannable, on the wall.",B,"Rs 500-1,500"
309,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Boho macramé wall hanging,On-trend texture that levels up any corner.,B,"Rs 500-1,500"
310,"Teen girls, 13-19","Aesthetic, creative, self-expression",Aesthetic & Room,Rainbow / disco projector mood light,Party-in-a-room lighting for get-togethers.,B,"Rs 500-1,500"
311,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,At-home spa gift hamper,A full pamper night in a beautiful box.,C,"Rs 1,500-5,000"
312,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Skincare starter fridge (mini),"Chills her serums; a viral, coveted upgrade.",D,"Rs 5,000+"
313,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Personalised jade-roller & gua-sha set,Ritual self-care with a gift-worthy finish.,B,"Rs 500-1,500"
314,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,DIY natural cosmetics-making kit,Make lip balm and scrubs; creative and useful.,B,"Rs 500-1,500"
315,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Bath-bomb & candle self-care box,Instant unwind ritual after a long school week.,B,"Rs 500-1,500"
316,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Silk pillowcase + scrunchie set,Gentle-on-hair luxury she'll notice nightly.,B,"Rs 500-1,500"
317,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Hair-styling tools starter kit,Salon looks at home; genuinely used daily.,C,"Rs 1,500-5,000"
318,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Perfume-discovery sampler set,Finds her signature scent without a big spend.,B,"Rs 500-1,500"
319,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Aromatherapy diffuser + oils,Calming ambience and self-care in one.,B,"Rs 500-1,500"
320,"Teen girls, 13-19","Aesthetic, creative, self-expression",Self-Care & Beauty,Personalised makeup / vanity bag,Organised beauty with her name on it.,B,"Rs 500-1,500"
321,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Digital drawing tablet (entry),For the doodler ready to make digital art seriously.,D,"Rs 5,000+"
322,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Watercolour + brush-pen art set,"A calming, expressive hobby with lovely results.",B,"Rs 500-1,500"
323,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Diamond-painting art kit,Meditative sparkle-art that ends framed on the wall.,A,Rs 0-500
324,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Embroidery / punch-needle starter kit,"A slow, satisfying craft with heirloom charm.",B,"Rs 500-1,500"
325,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Hand-lettering & calligraphy kit,Turns notes and cards into art; genuinely useful.,B,"Rs 500-1,500"
326,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,DIY candle-making studio,"Scented, giftable results; a whole aesthetic hobby.",B,"Rs 500-1,500"
327,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Resin art & coaster-making kit,"Glossy, giftable pieces; creative and on-trend.",B,"Rs 500-1,500"
328,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Pottery / clay air-dry kit,Handmade trinket dishes and mugs; therapeutic.,B,"Rs 500-1,500"
329,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Sketchbook + pro pencil set,Quality tools that take a hobby seriously.,B,"Rs 500-1,500"
330,"Teen girls, 13-19","Aesthetic, creative, self-expression",Creative & Art,Sticker-making & journaling kit,Fuels the journaling and scrapbooking obsession.,A,Rs 0-500
331,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Personalised leather journal + pen,"A private, beautiful space with her name embossed.",B,"Rs 500-1,500"
332,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Aesthetic bullet-journal starter set,"Washi, stencils and pens; the full BuJo kit.",B,"Rs 500-1,500"
333,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Guided self-discovery / manifestation journal,"Structured prompts for goals, gratitude and growth.",B,"Rs 500-1,500"
334,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Custom 12-month photo planner,Her memories built into her daily planning.,B,"Rs 500-1,500"
335,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Vision-board DIY kit,Turns dreams visible; a genuine mindset tool.,B,"Rs 500-1,500"
336,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Wax-seal & letter-writing set,Old-world romance for the sentimental writer.,B,"Rs 500-1,500"
337,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Sticker + washi-tape mega bundle,Endless supplies for the decorating addict.,A,Rs 0-500
338,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,One-line-a-day 5-year memory book,A tiny daily habit that becomes a treasure.,B,"Rs 500-1,500"
339,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Reading-log + book-tracker journal,For the bookworm who loves logging her reads.,A,Rs 0-500
340,"Teen girls, 13-19","Aesthetic, creative, self-expression",Journaling,Gratitude + affirmation card deck,"Daily grounding in small, kind reminders.",A,Rs 0-500
341,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Instant photo + music combo gift,Prints and playlists; peak teen sentimentality.,C,"Rs 1,500-5,000"
342,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Vinyl record of a favourite artist,Analog love for the fan with taste.,C,"Rs 1,500-5,000"
343,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Fandom merch bundle (band/show),Speaks her fandom fluently; instantly beloved.,B,"Rs 500-1,500"
344,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Aesthetic wireless earbuds,Pretty and practical; worn every single day.,C,"Rs 1,500-5,000"
345,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Beginner ukulele + songbook,"Cute, portable and genuinely learnable.",C,"Rs 1,500-5,000"
346,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Karaoke mic + speaker,Sleepover superstar energy in one gadget.,B,"Rs 500-1,500"
347,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Concert-ticket / experience voucher,"A memory, not a thing; the gold-standard gift.",D,"Rs 5,000+"
348,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Custom song-lyric framed art,Her anthem on the wall; deeply personal.,B,"Rs 500-1,500"
349,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Enamel-pin / patch collection,Low-cost identity pieces for bag and jacket.,A,Rs 0-500
350,"Teen girls, 13-19","Aesthetic, creative, self-expression",Music & Pop,Polaroid + concert-memory scrapbook kit,A place to keep the nights that mattered.,B,"Rs 500-1,500"
351,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Personalised name / initial necklace,The dainty everyday piece she'll never take off.,B,"Rs 500-1,500"
352,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Charm bracelet + starter charms,A story on the wrist; add to it for years.,B,"Rs 500-1,500"
353,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Trendy crossbody / baguette bag,The 'it' bag that finishes every outfit.,C,"Rs 1,500-5,000"
354,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Birthstone jewellery piece,"Personal, meaningful and quietly special.",B,"Rs 500-1,500"
355,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Custom embroidered tote / denim,Wearable art personalised just for her.,B,"Rs 500-1,500"
356,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Layered-necklace / ring stack set,On-trend stacking pieces for endless combos.,B,"Rs 500-1,500"
357,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Statement sunglasses,Instant confidence and a whole vibe.,B,"Rs 500-1,500"
358,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Silk scarf (versatile styling),"Hair, bag or neck; a grown-up style unlock.",B,"Rs 500-1,500"
359,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Personalised phone case (photo/name),A daily-carry item made unmistakably hers.,A,Rs 0-500
360,"Teen girls, 13-19","Aesthetic, creative, self-expression",Fashion,Cosy oversized hoodie / co-ord,The comfort-core piece she'll practically live in.,C,"Rs 1,500-5,000"
361,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Yoga mat + starter accessories,"Encourages a calming, healthy movement habit.",C,"Rs 1,500-5,000"
362,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Meditation / mindfulness app gift card,A year of calm; wellbeing that keeps giving.,B,"Rs 500-1,500"
363,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Self-care subscription box (3 months),"Monthly delight and pampering, delivered.",D,"Rs 5,000+"
364,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Herbal tea sampler + infuser mug,"A cosy, calming daily ritual in a cup.",B,"Rs 500-1,500"
365,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Weighted blanket (single),"Anxiety-easing comfort with real, felt benefit.",D,"Rs 5,000+"
366,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Sunrise alarm clock (wake light),Gentler mornings for the notoriously sleepy teen.,C,"Rs 1,500-5,000"
367,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Acupressure relaxation mat,"A surprising, effective stress-melting tool.",B,"Rs 500-1,500"
368,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Reusable water bottle (motivational),Nudges hydration with time-marker fun.,B,"Rs 500-1,500"
369,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Sleep-story + soundscape speaker,Winds down a racing mind without a screen.,C,"Rs 1,500-5,000"
370,"Teen girls, 13-19","Aesthetic, creative, self-expression",Wellness,Desk plant + care kit,A living companion that teaches gentle responsibility.,A,Rs 0-500
371,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Pottery / paint-studio experience voucher,A memorable day out with a friend or parent.,C,"Rs 1,500-5,000"
372,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Baking / dessert workshop voucher,Learns a skill and eats the delicious homework.,C,"Rs 1,500-5,000"
373,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Photoshoot / self-portrait session,Feel-good confidence and forever photos.,D,"Rs 5,000+"
374,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Adventure day (zip-line/kayak) voucher,Adrenaline memories that beat any object.,C,"Rs 1,500-5,000"
375,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Personalised star-map of a special date,"The night sky of a moment that mattered, framed.",B,"Rs 500-1,500"
376,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Custom illustrated portrait (from photo),Her likeness as art; treasured and unique.,B,"Rs 500-1,500"
377,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Movie / theme-park experience pass,A guaranteed-fun day she gets to plan.,C,"Rs 1,500-5,000"
378,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Dance / art class package,"Feeds a passion with real, ongoing lessons.",C,"Rs 1,500-5,000"
379,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Personalised song / voice-note frame,Play a loved one's message from a keepsake frame.,B,"Rs 500-1,500"
380,"Teen girls, 13-19","Aesthetic, creative, self-expression",Experiences,Memory-jar + 365-notes kit,A year of little messages to open one by one.,A,Rs 0-500
381,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Aesthetic baking starter kit,Everything for a first Insta-worthy bake.,B,"Rs 500-1,500"
382,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,DIY chocolate-making kit,"Sweet, creative and shareable results.",B,"Rs 500-1,500"
383,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Personalised apron + baking tools,"Cute, useful gear for the home baker.",B,"Rs 500-1,500"
384,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Cake-decorating / piping set,Turns simple bakes into showstoppers.,B,"Rs 500-1,500"
385,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Bubble-tea / mocktail-making kit,On-trend drinks she makes for friends.,B,"Rs 500-1,500"
386,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Cookbook for teens (easy recipes),"Builds real, confidence-boosting kitchen skills.",B,"Rs 500-1,500"
387,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,DIY dessert-jar / no-bake kit,"Pretty, easy treats with zero oven stress.",A,Rs 0-500
388,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Ice-cream / kulfi-making kit,Homemade frozen treats; a fun summer project.,B,"Rs 500-1,500"
389,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Macaron / cookie baking set,"An ambitious, rewarding bake for the enthusiast.",C,"Rs 1,500-5,000"
390,"Teen girls, 13-19","Aesthetic, creative, self-expression",Baking & Food,Personalised recipe-journal,A keepsake home for her favourite creations.,A,Rs 0-500
391,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Reusable coffee cup + tote set,On-trend eco-swaps she'll actually carry.,B,"Rs 500-1,500"
392,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,DIY upcycled-fashion kit,Turns old clothes into new statement pieces.,B,"Rs 500-1,500"
393,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Bamboo / eco self-care bundle,Plastic-free swaps for the conscious teen.,B,"Rs 500-1,500"
394,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Seed-paper / grow-your-own stationery,Notes that literally bloom into plants.,A,Rs 0-500
395,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Thrift-flip sewing starter kit,Refashions finds into unique wardrobe wins.,B,"Rs 500-1,500"
396,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Solar-powered fairy-light set,Eco room-glow with zero electricity cost.,B,"Rs 500-1,500"
397,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Reusable makeup-remover pad set,"A small, gift-worthy sustainable swap.",A,Rs 0-500
398,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,DIY natural-cosmetics kit,Make clean beauty products she chooses.,B,"Rs 500-1,500"
399,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Recycled-material trendy backpack,Style with a conscience for daily carry.,C,"Rs 1,500-5,000"
400,"Teen girls, 13-19","Aesthetic, creative, self-expression",Sustainable & Trendy,Plantable herb / flower grow-kit,"A cute, rewarding intro to green living.",A,Rs 0-500
401,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Titanium / steel EDC multitool,Pocket capability that feels like a grown-up upgrade.,C,"Rs 1,500-5,000"
402,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Fast-charging 3-in-1 wireless dock,"Phone, watch and buds charge on one clean pad.",C,"Rs 1,500-5,000"
403,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Compact 10000mAh power bank (22.5W),Never-dead phone; the quietly essential daily hero.,B,"Rs 500-1,500"
404,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Smart tracker tag (for keys/wallet),Ends the frantic morning search forever.,B,"Rs 500-1,500"
405,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Rechargeable arc lighter (windproof),"Flameless, sleek and genuinely useful gadget-cool.",A,Rs 0-500
406,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Mini portable vacuum (car/desk),Oddly satisfying; keeps his setup spotless.,A,Rs 0-500
407,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Bluetooth tracker card (wallet-thin),"Slips into any wallet; peace of mind, gifted.",B,"Rs 500-1,500"
408,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Magnetic cable-organiser set,"Small fix, big daily satisfaction for a tidy desk.",A,Rs 0-500
409,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Precision 24-in-1 screwdriver kit,For the guy who loves fixing his own gear.,A,Rs 0-500
410,"Men, 20-35","EDC, tech, fitness, first salary energy",EDC & Gadgets,Smart ring (fitness/sleep),Cutting-edge health tracking without a screen.,D,"Rs 5,000+"
411,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Sit-stand laptop riser (portable),Better posture and a healthier work-from-home day.,C,"Rs 1,500-5,000"
412,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Mechanical keyboard (hot-swap),The desk upgrade every remote worker secretly wants.,C,"Rs 1,500-5,000"
413,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Monitor light bar (auto-dim),Eases eye strain; premium desk aesthetic.,C,"Rs 1,500-5,000"
414,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Under-desk cable-management tray,"Turns a messy desk into a clean, calm workspace.",B,"Rs 500-1,500"
415,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Personalised leather desk mat,His initials under a workspace he actually enjoys.,C,"Rs 1,500-5,000"
416,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Noise-cancelling headphones,"Focus armour for calls, deep work and commutes.",D,"Rs 5,000+"
417,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Ergonomic vertical mouse,Wrist relief for the guy who lives on a laptop.,B,"Rs 500-1,500"
418,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Desk plant (low-maintenance) + pot,A bit of life and calm in the work corner.,B,"Rs 500-1,500"
419,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Wireless charging desk-clock + speaker,"Three gadgets in one tidy, useful block.",C,"Rs 1,500-5,000"
420,"Men, 20-35","EDC, tech, fitness, first salary energy",Desk & WFH,Focus / pomodoro timer cube,"A tactile nudge toward deep, distraction-free work.",B,"Rs 500-1,500"
421,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Adjustable dumbbell pair,A full home gym compressed into two handles.,D,"Rs 5,000+"
422,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Massage gun (percussion),Post-workout recovery that feels like luxury.,C,"Rs 1,500-5,000"
423,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Smart fitness watch (GPS),"Tracks runs, sleep and rides; genuinely motivating.",D,"Rs 5,000+"
424,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Insulated steel gym bottle (1L),Keeps water cold through the toughest session.,B,"Rs 500-1,500"
425,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Resistance-band pro set + door anchor,Travel-friendly strength training with real range.,B,"Rs 500-1,500"
426,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Trekking / day-hike backpack,For the guy planning his next weekend escape.,C,"Rs 1,500-5,000"
427,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Yoga / mobility mat (premium),"Encourages recovery and flexibility, not just lifting.",C,"Rs 1,500-5,000"
428,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Grip-strength & forearm trainer,"A small, addictive tool for the fitness-obsessed.",A,Rs 0-500
429,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Cycling accessories bundle,"Lights, pump and tools for the weekend rider.",C,"Rs 1,500-5,000"
430,"Men, 20-35","EDC, tech, fitness, first salary energy",Fitness & Outdoors,Foam roller (textured),The recovery staple that saves stiff mornings.,B,"Rs 500-1,500"
431,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Beard-grooming premium kit,"Oil, balm and trimmer; upgrades his whole routine.",B,"Rs 500-1,500"
432,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Personalised leather bifold wallet,Engraved everyday carry that feels considered.,B,"Rs 500-1,500"
433,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Minimalist automatic watch,A real grown-up timepiece; understated and lasting.,D,"Rs 5,000+"
434,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Signature-fragrance discovery set,Helps him find a scent that becomes his.,C,"Rs 1,500-5,000"
435,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Premium wet-shave razor set,A ritual upgrade from disposable to distinguished.,C,"Rs 1,500-5,000"
436,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,"Sunglasses (polarised, quality)",A face-defining accessory he'll wear constantly.,C,"Rs 1,500-5,000"
437,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Personalised cufflinks / tie-bar,"Sharp, subtle detailing for the formal wardrobe.",B,"Rs 500-1,500"
438,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Weekender leather duffel,Handsome travel gear for the trip-taking twenties.,D,"Rs 5,000+"
439,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Minimalist card-holder + tracker,"Slim, modern EDC for the anti-bulky-wallet guy.",B,"Rs 500-1,500"
440,"Men, 20-35","EDC, tech, fitness, first salary energy",Grooming & Style,Grooming travel dopp kit,Organised toiletries for the frequent flyer.,B,"Rs 500-1,500"
441,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Whisky-stone & glass gift set,Chills the pour without diluting; a classy staple.,B,"Rs 500-1,500"
442,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Personalised engraved hip flask,A pocket classic with his name or a date.,B,"Rs 500-1,500"
443,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Cocktail-making bar tool kit,Turns him into the host everyone remembers.,C,"Rs 1,500-5,000"
444,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Whisky-tasting flight & journal set,A guided journey for the aspiring connoisseur.,C,"Rs 1,500-5,000"
445,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Ice-ball / sphere mould set,Slow-melting spheres for a serious home pour.,A,Rs 0-500
446,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Personalised whisky-glass duo,Monogrammed glasses for two; great couple-adjacent gift.,B,"Rs 500-1,500"
447,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Craft-beer brewing starter kit,"Brews his own; a rewarding, sharable hobby.",C,"Rs 1,500-5,000"
448,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Wine-aerator + preserver set,Elevates every bottle; practical and impressive.,B,"Rs 500-1,500"
449,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Smoked-cocktail kit (wood chips),Restaurant theatre for the home bar; huge wow.,C,"Rs 1,500-5,000"
450,"Men, 20-35","EDC, tech, fitness, first salary energy",Bar & Tasting,Coffee pour-over / aeropress kit,For the guy whose mornings are a ritual.,C,"Rs 1,500-5,000"
451,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Universal travel adapter (fast charge),"The frequent traveller's most-used, least-glamorous hero.",B,"Rs 500-1,500"
452,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Compression packing-cube set,Doubles suitcase space; a seasoned traveller's secret.,B,"Rs 500-1,500"
453,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Noise-isolating travel earbuds,"Peace on planes, trains and open offices.",C,"Rs 1,500-5,000"
454,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Adventure experience voucher (rafting/paragliding),A memory over an object; adrenaline he'll retell.,C,"Rs 1,500-5,000"
455,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Staycation / hotel-night gift box,"A curated escape for two, ready to redeem.",D,"Rs 5,000+"
456,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Anti-theft travel backpack,"Smart, secure carry for the explorer twenties.",C,"Rs 1,500-5,000"
457,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Personalised leather luggage tag set,"Small, useful and unmistakably his on the belt.",A,Rs 0-500
458,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Road-trip car-gadget bundle,"Charger, mount and tyre gauge for the driver.",C,"Rs 1,500-5,000"
459,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Cooking / mixology class voucher,A skill and a fun evening rolled into one.,C,"Rs 1,500-5,000"
460,"Men, 20-35","EDC, tech, fitness, first salary energy",Travel & Experiences,Camping hammock + gear,For the guy who chases weekends outdoors.,C,"Rs 1,500-5,000"
461,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Beginner mirrorless camera,For the friend ready to take photography seriously.,D,"Rs 5,000+"
462,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Vinyl turntable (belt-drive),Analog warmth and cover-art romance; a lasting hobby.,D,"Rs 5,000+"
463,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Mechanical model-build kit (car/watch),"A focus-heavy, display-worthy weekend project.",C,"Rs 1,500-5,000"
464,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Home-gaming racing / flight setup piece,A serious upgrade for the sim enthusiast.,D,"Rs 5,000+"
465,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Astronomy telescope (intermediate),Saturn's rings from the terrace; awe he'll share.,D,"Rs 5,000+"
466,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Drone with 4K camera,Aerial creativity and flying fun; big statement gift.,D,"Rs 5,000+"
467,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Chess set (weighted) + strategy books,"Fuels a competitive, thoughtful mind.",B,"Rs 500-1,500"
468,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Leathercraft / woodworking starter kit,"A tactile, screen-free making hobby with real output.",C,"Rs 1,500-5,000"
469,"Men, 20-35","EDC, tech, fitness, first salary energy",Hobbies,Home-barista espresso setup,Cafe-quality mornings; a daily-used passion gift.,D,"Rs 5,000+"
